production_companies,revenue,cantidad_peliculas
Agencja Produkcji Filmowej,7504536.0625,52
Agent Two,739246.4,5
Aggregate Film,3900000.0,2
Aggregate Films,57988336.666666664,3
Ahimsa Films,11795730.6,5
Aja / Levasseur Productions,13864694.166666666,6
Akil Production Company,6159367.25,4
Akira Committee Company Ltd.,69146.375,8
Akson Studio,4907771.0,14
Alabama Production Group,6904444.2,5
Alan Greenspan Productions,8408551.166666666,6
Alan Jay Lerner Productions,10559592.666666666,3
Alan Landsburg Productions,29329018.333333332,5
Alan Young Pictures,32138.95238095238,26
Albacore Productions Inc.,850000.0,2
Albert S. Ruddy Productions,46854432.800000004,13
Alberta Film Development Program of the Alberta Government,9865354.666666666,6
Alberta Film Entertainment,46962905.75,27
Albertine Productions,15470.1,15
Alberto Grimaldi Productions,64590834.666666664,3
Alborada P.C.,151276.5,2
Alcatraz Film,1020.5833333333334,19
Alchemy Filmworks,0.25,4
Alcon Entertainment,655576917.9972222,93
Alcor Films,183884981.01666668,70
Alcove Entertainment,66802.0,15
Aldamisa Entertainment,7778627.761904761,25
Aldrich Group,5252295.0,4
Aleor Films,251895.75,4
Alfama Films,606355.6,22
Alfran Productions,122533205.5,5
Alfred J. Hitchcock Productions,28903529.0,5
Algonquin,30000000.0,2
Algonquin Productions Limited,15276.4,5
Alibaba Pictures Group,160048214.53968254,23
Alicia Produce S L,438040.1666666667,6
Aligator Producciones,3370574.0,3
Alive Films,13698430.833333332,17
Alive Productions,7750000.0,5
All Entertainment,1000000.0,2
All Girl Productions,42216399.33333333,10
All Knight Productions,17664697.4,5
All Lit Up Productions,11807767.5,4
All Pictures Media,25203396.444444444,9
Alla Prima Productions,8197.0,5
Allarcom Limited,536703.8,8
Allarts,1750301.0,5
Allegiance Theater,18656520.8,5
Allegro Films,4520116.5,39
Alliance,67713.28571428571,13
Alliance Atlantis Communications,21790215.680555556,116
Alliance Atlantis Motion Picture Production,1477086.8,5
Alliance Cinema,48030.444444444445,9
Alliance Communications,1631792.5,4
Alliance Communications Corporation,9558843.0,26
Alliance Entertainment,1166666.6666666667,16
Alliance Films,107262248.91282052,108
Alliance de Production Cinematographique (APC),18198891.285714287,7
Allied Artists,3083333.3333333335,8
Allied Artists Pictures,22755666.666666668,70
Allied Filmmakers,80080779.06666666,41
Allied Stars,9828817.333333334,7
Allied Vision,16690384.333333334,11
Allison Shearmur Productions,375503874.85,12
Alloy Entertainment,19269665.666666668,10
Allspark Pictures,16924570.2,9
Almega Projects,93858.0,2
Almena Films,1056346.7,11
Aloe Entertainment,43490.0,16
Alpha Core,53927186.35714286,15
Alpha Pictures,21881623.272727273,11
Alpha Productions,2452500.0,8
Alphaville Films,602028796.1944444,62
Alphaville Productions,32649550.083333332,7
Alpine Pty Limited,225508.33333333334,3
Alsid Productions,1.5,2
Also Known As Pictures,6615730.5,3
Alta Loma Entertainment,17610735.0,4
Alta Vista Productions,4949275.0,21
Altar Productions,2725407.5,9
Altavista Films,10593733.5,17
Altitude Film Entertainment,1889283.0,51
Altus Media,15322645.0,3
Altus Productions,18785.75,4
Alvernia Studios,4435632.0,13
Amalgam Features,243128.0,4
Amasia Entertainment,11440294.333333332,17
Amazon Prime Instant Video,33753008.015151516,33
Amazon Studios,32533981.290476188,32
Amazonas Images,151400.57142857142,7
Ambience Entertainment,14672146.444444444,16
Amblimation,20477128.666666668,9
Amblin Entertainment,4924182420.606746,274
Amblin Partners,58733003.02272727,15
Ambush Entertainment,108046.0,22
Amen Ra Films,87405454.41666667,27
Amercent Films,56442592.41666667,27
American Cinema Productions,52448558.0,4
American Empirical Pictures,71774643.45,20
American Entertainment Investors,2294490.8,12
American Entertainment Partners II L.P.,66633781.5,5
American Entertainment Partners L.P.,64433759.25,32
American Film Company,7957283.666666667,5
American Film Institute (AFI),3500000.0,3
American Films,6693340.0,3
American Filmworks,14573528.5,10
American International Pictures (AIP),111999500.0,151
American International Productions,12000000.0,8
American Playhouse,1332191.1666666665,41
American Releasing Corporation (ARC) (II),125000.0,4
American Werewolf Inc.,7993312.25,4
American Work,47868.25,8
American Zoetrope,449382748.5525641,109
Amicus Entertainment,7750000.0,2
Amigos Creations,2640850.0,1
Amiguetes Entertainment,4452062.0,14
Amjo Productions,18727815.1,7
Amka Films Productions,3.5,17
Amkart Studios,16885.333333333332,3
Amour Fou Filmproduktion,8319.875,27
Amuse Soft Entertainment,50020265.222222224,40
Amusement Park Films,3944356.875,10
Amy Robinson Productions,7531136.333333333,3
An Erich von Stroheim Production,0.5,2
An Olive Branch Productions,154811.85714285713,9
Anagram Pictures Inc.,142074.66666666666,9
Ananya Films,1500000.0,1
Anarchos Productions,101246834.84722222,35
Anchor Bay Films,1205908.383982684,62
Ancine,1526536.8461538462,20
Andalasia Productions,85121913.0,4
Andale Pictures,13618473.0,6
Andamar Entertainment,185747.0,3
Andell Entertainment,28092817.46666667,14
Andor Films,8000000.0,2
Andrea Leone Films,648000.0,5
Andrea Sperling Productions,708470.6,14
Andreevsky Flag Film Company,5305502.0,8
Andrew Lauren Productions (ALP),4734436.75,5
Ang Lee Productions,6050519.166666666,6
Angel Eyes Productions,5940000.0,5
Angel films,1539687.6538461538,30
Angeles Entertainment Group,2333333.3333333335,10
Anglo-Amalgamated Productions,41978.5,2
Angoa-Agicoa,310692.47611927544,246
Angry Films,233794443.49444443,29
Angry Monkey Entertainment,133771.0,1
Anhelo Productions,884490.25,4
Anhui Broadcasting Corp.,25.916666666666668,12
Anima Vitae,5666666.666666667,3
Animal Kingdom,6283472.833333334,28
Animal Logic,336744635.2714286,30
