belongs_to_collection,cantidad_peliculas,ganancia_total,promedio_ganancia
The Butterfly Effect Collection,1,96060858.0,96060858.0
The Cabin Fever Collection,1,30553394.0,30553394.0
The Cell Collection,1,104155843.0,104155843.0
The Chronicles of Narnia Collection,3,1584144587.0,528048195.6666667
The Chronicles of Riddick Collection,3,267297687.0,89099229.0
The Collector Collection,2,120842058.0,60421029.0
The Condemned Collection,1,8642858.0,8642858.0
The Conjuring Collection,2,638170149.0,319085074.5
The Croods Collection,1,585178928.0,585178928.0
The Crow Collection,2,111917287.0,55958643.5
The Cutting Edge Collection,1,25105517.0,25105517.0
The Dark Knight Collection,3,2463716216.0,821238738.6666666
The Delta Force Collection,2,24467261.0,12233630.5
The Dirty Dozen Collection,1,45300000.0,45300000.0
The Disappearance Of Eleanor Rigby,1,985007.0,985007.0
The Dukes Of Hazzard Collection,1,110803676.0,110803676.0
The Emperor's New Groove Collection,1,169327687.0,169327687.0
The Exorcist Collection,5,589331619.0,117866323.8
The Expendables Collection,3,793216361.0,264405453.66666666
The Eye Collection,1,56309766.0,56309766.0
The Fast and the Furious Collection,8,5125098793.0,640637349.125
The Flintstones (Live-Action) Collection,2,401099483.0,200549741.5
The Fly (1958 series),1,3000000.0,3000000.0
The Fly Collection,2,99532338.0,49766169.0
The Fox and the Hound Collection,1,29800000.0,29800000.0
The Fugitive / U.S. Marshals Collection,2,471243165.0,235621582.5
The Godfather Collection,3,429375314.0,143125104.66666666
The Gods Must Be Crazy Collection,1,60000000.0,60000000.0
The Gremlins Collection,2,194565309.0,97282654.5
The Grudge Collection,3,261228450.0,87076150.0
The Hangover Collection,3,1075726677.0,358575559.0
The Hannibal Lecter Anthology,5,924422301.0,184884460.2
The Haunting in Connecticut Collection,1,77527732.0,77527732.0
The Hills Have Eyes (Original) Collection,1,25000000.0,25000000.0
The Hills Have Eyes (Reboot) Collection,1,69623713.0,69623713.0
The Hitcher (1986) Collection,1,5844868.0,5844868.0
The Hobbit Collection,3,2935523356.0,978507785.3333334
The Howling Collection,1,17985893.0,17985893.0
The Hunchback of Notre Dame Collection,1,100138851.0,100138851.0
The Hunger Games Collection,4,2944162634.0,736040658.5
The Huntsman Collection,2,561202163.0,280601081.5
The Hustler Collection,2,59893982.0,29946991.0
The Inbetweeners Collection,1,88025781.0,88025781.0
The Incredibles Collection,1,631442092.0,631442092.0
The Invisible Man (Universal Series),1,1040000.0,1040000.0
The Jack Ryan Collection,5,836688411.0,167337682.2
The Jake Gittes Collection,2,40000000.0,20000000.0
The Jaws Collection,4,798406075.0,199601518.75
The Jungle Book Collection,2,341523612.0,170761806.0
The Karate Kid Collection,4,260702809.0,65175702.25
The Klapisch Trilogy,2,27625100.0,13812550.0
The Land Before Time Collection,1,84460846.0,84460846.0
The Last Exorcism Collection,2,82917392.0,41458696.0
The Last Picture Show Collection,1,29133000.0,29133000.0
The Lawnmower Man Collection,2,34510225.0,17255112.5
The Legend Collection,2,6924581.0,3462290.5
The Lego Movie Collection,2,781111076.0,390555538.0
The Lion King Collection,1,788241776.0,788241776.0
The Little Mermaid Collection,1,222300000.0,222300000.0
The Lord of the Rings Animated Collection,1,30471420.0,30471420.0
The Lord of the Rings Collection,3,2916544743.0,972181581.0
The Magnificent Seven Collection,1,4905000.0,4905000.0
The Man From Snowy River Collection,1,20659423.0,20659423.0
The Man With No Name Collection,3,35500000.0,11833333.333333334
The Man with the Iron Fists Collection,1,15608545.0,15608545.0
The Marine Collection,1,22165608.0,22165608.0
The Mask Collection,1,351583407.0,351583407.0
The Matrix Collection,3,1627105295.0,542368431.6666666
The Matt Helm Collection,2,18718124.0,9359062.0
The Maze Runner Collection,2,659576787.0,329788393.5
The Mesrine Collection,1,31055440.0,31055440.0
The Messengers Collection,1,1109660.0,1109660.0
The Mighty Ducks Collection,3,119317844.0,39772614.666666664
The Millennium Collection,3,214839043.0,71613014.33333333
The Mummy Collection,3,1250027401.0,416675800.3333333
The Muppet Collection,6,400124401.0,66687400.166666664
The Neverending Story Collection,2,36442475.0,18221237.5
The Nutty Professor Collection,2,252077290.0,126038645.0
The Odd Couple Collection,1,44527234.0,44527234.0
The Omen Collection,3,107912717.0,35970905.666666664
The Philadelphia Experiment - Collezione,1,2970.0,2970.0
The Pink Panther (Original) Collection,8,164478248.0,20559781.0
The Pink Panther (Steve Martin) Collection,1,75871032.0,75871032.0
The Poseidon Adventure Collection,1,84563118.0,84563118.0
The Postman Collection,1,17626234.0,17626234.0
The Princess Diaries Collection,2,260484588.0,130242294.0
The Prophecy Collection,1,16.0,16.0
The Protector Collection,2,30468044.0,15234022.0
The Purge Collection,3,316699354.0,105566451.33333333
The Raid Collection,2,6732396.0,3366198.0
The Rescuers Collection,2,118647330.0,59323665.0
The Ring Collection,3,493881361.0,164627120.33333334
The Saint Collection,1,118063304.0,118063304.0
The Sandlot Collection,1,32416586.0,32416586.0
The Santa Clause Collection,3,447188544.0,149062848.0
The Scorpion King Collection,1,165333180.0,165333180.0
The Secret Life of Pets Collection,1,875457937.0,875457937.0
The Secret Of NIMH Collection,1,14665733.0,14665733.0
The Shadow Collection,1,48063435.0,48063435.0
The Sinbad Collection,2,27000000.0,13500000.0
The Sisterhood of the Traveling Pants Collection,2,83405478.0,41702739.0
The Skulls Collection,1,35007180.0,35007180.0
The Smurfs (Theatrical) Collection,3,1108367047.0,369455682.3333333
The Space Odyssey Series,2,109100657.0,54550328.5
The Stepfather Collection,1,1519796.0,1519796.0
The Sting Collection,2,165963399.0,82981699.5
The Terminator Collection,5,1845327738.0,369065547.6
The Thin Man Collection,1,1423000.0,1423000.0
The Thing Collection,2,47758430.0,23879215.0
The Three Mothers Collection,1,54947.0,54947.0
The Transporter Collection,4,310705790.0,77676447.5
The Trip Collection,1,951179.0,951179.0
The Twilight Collection,5,3342107290.0,668421458.0
The Up Series,1,238073.0,238073.0
The Vampire Chronicles,2,269143718.0,134571859.0
The Vengeance Collection,3,40738250.0,13579416.666666666
The Waxwork Collection,1,808114.0,808114.0
The Whole Nine/Ten Yards Collection,2,132527432.0,66263716.0
The Wolverine Collection,3,1405305345.0,468435115.0
The Woman in Black Collection,2,154232059.0,77116029.5
The Work and the Glory Collection,3,6697771.0,2232590.3333333335
The X-Files Collection,2,257567747.0,128783873.5
They Call Me Bruce Collection,1,16894678.0,16894678.0
Think Like a Man Collection,2,166251935.0,83125967.5
This is England Collection,1,8176544.0,8176544.0
Thor Collection,2,1093898020.0,546949010.0
Three Heroes Collection,3,24209008.0,8069669.333333333
Till Luck Do Us Part Collection,1,1672940.0,1672940.0
Timecop Collection,1,101646581.0,101646581.0
Tinker Bell Collection,1,20300000.0,20300000.0
Tiny Times Collection,2,126.0,63.0
Tomb Raider Collection,2,431208728.0,215604364.0
Tooth Fairy Collection,1,112462508.0,112462508.0
Torrente Collection,1,11672363.0,11672363.0
Toy Story Collection,3,1937890605.0,645963535.0
Trailer Park Boys Collection,1,3833507.0,3833507.0
Trainspotting Collection,2,57903789.0,28951894.5
Transformers Collection,5,4366101244.0,873220248.8
Tremors Collection,1,48572000.0,48572000.0
Troll Collection,1,5450815.0,5450815.0
Tulse Luper,1,25800.0,25800.0
Turbulence Collection,1,11466088.0,11466088.0
USA: Land of Opportunities Collection,2,17355754.0,8677877.0
Ultimate Avengers Collection,2,14600000.0,7300000.0
Under Siege Collection,2,260887222.0,130443611.0
Underworld Collection,5,539608743.0,107921748.6
Undisputed Collection,1,12398628.0,12398628.0
Universal Soldier Collection,3,12945586.0,4315195.333333333
Urban Legend,2,111101957.0,55550978.5
V/H/S Collection,3,124934.0,41644.666666666664
Vacancy Collection,1,35300645.0,35300645.0
Vampires Suck Collection,1,80547866.0,80547866.0
Van Helsing Collection,1,300257475.0,300257475.0
Vixens Collection,1,6000000.0,6000000.0
Viy Collection,1,34592118.0,34592118.0
Waiting Collection,1,18637690.0,18637690.0
Walking Tall Collection,1,57223890.0,57223890.0
Wall Street Collection,2,178596090.0,89298045.0
Wallace & Gromit Collection,1,192452832.0,192452832.0
Wanted - Collection,1,258270008.0,258270008.0
WarGames Collection,1,79567667.0,79567667.0
Wayne's World Collection,2,169662323.0,84831161.5
We Are From The Future Collection,1,8910819.0,8910819.0
We're the Millers Collection,1,269994119.0,269994119.0
Weekend at Bernie's Collection,1,30218387.0,30218387.0
Welcome Collection,1,36500000.0,36500000.0
What the Bleep! Collection,2,10138913.0,5069456.5
When a Stranger Calls Collection,1,66966987.0,66966987.0
White Fang Collection,1,34793160.0,34793160.0
White Noise Collection,1,91196419.0,91196419.0
Why Did I Get Married Collection,2,115257317.0,57628658.5
Wild Things Collection,1,67200000.0,67200000.0
Wishmaster Collection,1,15719109.0,15719109.0
Witch Mountain Collection,2,36393000.0,18196500.0
Witchboard Collection,1,168180.0,168180.0
Without a Paddle Collection,1,69631118.0,69631118.0
Wolf Creek Collection,2,37393092.0,18696546.0
Wolf Warriors Collection,1,80000000.0,80000000.0
Wonder Woman Collection,1,820580447.0,820580447.0
Wong Kar-Wai's Informal Collection,3,32268129.0,10756043.0
World War Z Collection,1,531865000.0,531865000.0
World of Watches Collection,2,70862717.0,35431358.5
Would I Lie to You? Collection,3,113080982.0,37693660.666666664
Wreck-It Ralph Collection,1,471222889.0,471222889.0
Wrong Turn Collection,1,28650575.0,28650575.0
X-Men Collection,6,2808832317.0,468138719.5
Yossi Collection,1,116207.0,116207.0
Young Guns Collection,1,44726644.0,44726644.0
Zoolander Collection,2,116749981.0,58374990.5
Zorro Collection,2,392688588.0,196344294.0
[REC] Collection,4,59265680.0,14816420.0
xXx Collection,3,694669972.0,231556657.33333334
ДухLess (Коллекция),1,13218980.0,13218980.0
Ирония судьбы (Коллекция),1,55635037.0,55635037.0
Самый лучший фильм - Коллекция,1,9816332.0,9816332.0
