director,return_total
Arnaud Desplechin,0.0030283
Arthur Hiller,76.70881681623932
Arthur Penn,27.383970133333335
Asger Leth,1.1005045
Asghar Farhadi,0.9665224545454545
Ash Brannon,0.1570091
"Ash Brannon, Chris Buck",1.7534648588235293
Ashutosh Gowariker,4.184680626323325
Ashwani Dhir,1.3333333333333333
Asia Argento,2.3788386225523297
Asif Kapadia,0.7994676
Ate de Jong,2.0474344814378314
Atom Egoyan,1.2166808666666666
Audrey Dana,2.4116374
Audrey Wells,3.5072717051282054
Ava DuVernay,3.3393954
Ayan Mukherjee,5.974025974025974
Aziz Mirza,2.6315789473684212
B Unnikrishnan,1.0833333333333333
Babak Najafi,3.4292407833333334
Baltasar Kormákur,8.391149802831595
Baran bo Odar,1.0846891333333333
Barbet Schroeder,5.209226565
Barbra Streisand,5.0262533000000005
Barry Jenkins,16.26167175
Barry Levinson,44.939751518268395
Barry Sonnenfeld,28.23461052835166
Barry W. Blaustein,0.24346918264473755
Bart Freundlich,0.2294075
"Bart Freundlich, James Sbardellati, Peter Merwin",0.9279368888888889
Baz Luhrmann,28.611959176910446
Beeban Kidron,0.8040604
Bejoy Nambiar,1.7692307692307692
Ben Affleck,11.415711503311856
Ben Falcone,7.737866668965518
Ben Garant,2.0342161
"Ben Gluck, Anthony Bell",1.965
Ben Kellett,3.8983050847457625
Ben Lewin,9.138338
Ben Sombogaart,0.39951734375
"Ben Stassen, Vincent Kesteloot",0.24760718518518518
Ben Stiller,11.358624296446559
Ben Wheatley,1.0206259243652218
Ben Younger,2.1360147179487177
Benedikt Erlingsson,1.1
Benh Zeitlin,11.726525555555556
Benjamin Heisenberg,0.053455128205128204
Bennett Miller,9.720255391428571
Benny Chan,1.1607887586206898
Benson Lee,0.82747385
Bernard Rose,4.321342047619048
Bernardo Bertolucci,32.057442824182196
"Bernhard Wicki, Ken Annakin, Andrew Marton",5.01
"Bernie Goldmann, Melisa Wallack",0.0693184
Bertrand Tavernier,0.4598290348852993
Betty Thomas,14.286097821205008
Bhaskar,4.000000750000187
Bill Condon,24.439756768154762
Bill Duke,2.8083955
Bill Fishman,0.11570841121495327
Bill L. Norton,6.0058696
Bill Paxton,1.809105989090909
Bill Plympton,0.812
Bille Woodruff,4.934429722222222
Billy Bob Thornton,24.444121
Billy Crystal,0.30930232558139537
Billy Ray,2.2782273846153847
Billy Weber,0.08489794444444444
Billy Wilder,42.419664904744934
Blake Edwards,23.473171260946305
Boaz Yakin,9.9549079
Bob Clark,44.15234224267399
Bob Fosse,2.5
Bob Gosse,0.20418557142857144
Bob Odenkirk,1.15751125
Bob Rafelson,5.1042863333333335
Bob Spiers,4.0
"Bobby Farrelly, Peter Farrelly",36.45312657917289
Bobcat Goldthwait,0.029575
Bong Joon-ho,13.680293151020408
Bonnie Hunt,1.5254164583333334
Brad Anderson,7.6667188410256415
Brad Bird,13.086287193959036
Brad Furman,4.840016303333333
Brad Peyton,11.371338781818181
Brad Silberling,12.028008653419914
Brandon Camp,2.0073896666666666
Breck Eisner,5.297896917948718
"Brenda Chapman, Mark Andrews, Steve Purcell",2.9134227405405406
"Brenda Chapman, Steve Hickner, Simon Wells",3.1230455428571426
"Brendan Malloy, Emmett Malloy",0.6159448333333334
Brett Leonard,4.844183666666667
Brett Ratner,23.472822602792764
Brett Simon,0.00604904347826087
Brian A Miller,14.810377777777777
Brian Baugh,1.3333333333333333
Brian De Palma,50.85289032194167
Brian Fee,2.000971754285714
Brian G. Hutton,4.027272727272727
Brian Gibson,2.1577192105263157
Brian Grant,1.66
Brian Helgeland,8.028079201361416
Brian Horiuchi,30.0
"Brian Klugman, Lee Sternthal",2.2052435
"Brian Koppelman, David Levien",1.1349854666666668
Brian Levant,14.982672822446775
Brian Robbins,5.984570709583333
"Brian Taylor, Mark Neveldine",8.740034733333333
Brian Yuzna,0.0271035
Brillante Mendoza,2.1995527728085866
Bronwen Hughes,1.2518424
Bruce A. Evans,2.08186315
Bruce Beresford,23.136468325714286
Bruce Campbell,0.11537733333333333
Bruce Hunt,0.5002663666666667
Bruce Lee,653.8461538461538
Bruce Malmuth,8.7220718
Bruce McDonald,0.06644190476190476
Bruce Robinson,1.1028572833333334
"Bruce Timm, Eric Radomski",0.9362318333333334
Bruno Dumont,0.1319419414460659
Bryan Bertino,9.154571666666667
Bryan Buckley,0.17594742857142856
Bryan Foy,16.0
Bryan Johnson,0.1242
Bryan Singer,22.72776626946486
Bryan Spicer,5.303177857142858
Burny Mattinson,7.0
Burr Steers,9.024243945743146
Busby Berkeley,5.450124688279302
Byron Haskin,1.0
"Byron Howard, Nathan Greno",2.2761343692307694
"Byron Howard, Rich Moore, Jared Bush",6.825227966666667
C. Jay Cox,0.9646341176470589
Callan Brunker,1.864941075
Cameron Crowe,13.275774614179568
Camille Delamarre,5.365787835714286
Carl Franklin,3.2263340060317462
Carl Rinsch,0.8626427142857143
Carlos Reygadas,0.15827710464280006
Carlos Saldanha,28.354875670280475
Carol Reed,7.3402877
Carroll Ballard,14.19019774329502
Cary Fukunaga,1.51295
Catherine Hardwicke,15.571168534182753
Cecil B. DeMille,30.20692282511935
Cedric Nicolas-Troyan,1.431323156521739
Chad Stahelski,4.288497175
"Chad Stahelski, David Leitch",4.43808305
Charles B. Pierce,220.0
Charles Band,8.75
Charles Binamé,0.252376125
"Charles Brabin, Rex Ingram, Christy Cabanne, Fred Niblo, J.J. Cohn",2.3076923076923075
Charles Burnett,3.62222
Charles Crichton,8.332494933333333
Charles Ferguson,4.6515725
Charles Grosvenor,0.5063116923076924
Charles Herman-Wurmfeld,12.789309377777778
Charles Jarrott,0.6892098
Charles Martin Smith,11.749567243993994
Charles S. Dutton,0.1695969230769231
Charles Shyer,1.5998715833333335
Charles Stone III,3.6061009833333335
Charlie Chaplin,8500018.792774951
Cheol-hie Park,1.3333333333333333
"Chris Buck, Jennifer Lee",8.494793393333333
Chris Carter,2.278981133333333
Chris Columbus,88.39066236307549
Chris Fisher,1.025
Chris Gorak,2.1542262
Chris Kentis,420.52272307692306
"Chris Kentis, Laura Lau",6.550836
Chris Koch,0.87160815
Chris McKay,3.8993798
"Chris Miller, Raman Hui",4.99348853125
Chris Morris,4.412588380941751
Chris Nahon,3.0723416300000004
Chris Noonan,9.640438366666668
Chris Paine,1.678874
Chris Renaud,11.672772493333333
Chris Rock,1.1996586363636363
"Chris Sanders, Dean DeBlois",2.999265206060606
"Chris Sanders, Kirk De Micco",4.334658725925926
Chris Sivertson,0.8016999166666666
Chris Wedge,9.696101321016949
"Chris Wedge, Carlos Saldanha",3.47595992
Chris Weitz,16.440445906666667
"Chris Weitz, Paul Weitz",26.1853235959596
"Chris Williams, Byron Howard",2.0665332933333334
"Chris Williams, Don Hall",3.9521542
Christian Alvart,1.6996900437710438
Christian Carion,0.8049615909090909
Christian Ditter,2.956408236842105
Christian Duguay,1.31805875
Christian E. Christiansen,2.5307974375
Christian Robinson,1.05852815
Christian Volckman,0.10174155555555556
Christine Jeffs,4.663446828571429
Christophe Gans,5.879783158223615
Christophe Van Rompaey,2.6785714285714284
Christopher B. Landon,18.263192133333334
Christopher Cain,4.7594264102564106
